abusive	abuse-01
hitter	person ARG0-of( hit-01 )ARG0-of
holder	person ARG0-of( hold-01 )ARG0-of
hugger	person ARG0-of( hug-01 )ARG0-of
hunter	person ARG0-of( hunt-01 )ARG0-of
immigrant	person ARG0-of( immigrate-01 )ARG0-of
incentive	thing ARG0-of( incentivize-01 )ARG0-of
incinerator	facility ARG0-of( incinerate-01 )ARG0-of
indicator	thing ARG0-of( indicate-01 )ARG0-of
infiltrator	person ARG0-of( infiltrate-01 )ARG0-of
inhabitant	person ARG0-of( inhabit-01 )ARG0-of
inhibitor	thing ARG0-of( inhibit-01 )ARG0-of
inspector	person ARG0-of( inspect-01 )ARG0-of
insurer	person ARG0-of( insure-02 )ARG0-of
interpreter	person ARG0-of( interpret-01 )ARG0-of
interrogator	person ARG0-of( interrogate-01 )ARG0-of
inventor	person ARG0-of( invent-01 )ARG0-of
investigator	person ARG0-of( investigate-01 )ARG0-of
investor	person ARG0-of( invest-01 )ARG0-of
jogger	person ARG0-of( jog-01 )ARG0-of
judge	person ARG0-of( judge-01 )ARG0-of
kidnapper	person ARG0-of( kidnap-01 )ARG0-of
killer	person ARG0-of( kill-01 )ARG0-of
laborer	person ARG0-of( labor-01 )ARG0-of
launcher	product ARG0-of( launch-01 )ARG0-of
lawmaker	person ARG0-of( legislate-01 )ARG0-of
leader	person ARG0-of( lead-01 )ARG0-of
leader	person ARG0-of( lead-02 )ARG0-of
leaker	person ARG0-of( leak-01 )ARG0-of
legislator	person ARG0-of( legislate-01 )ARG0-of
legislature	government-organization ARG0-of( legislate-01 )ARG0-of
lender	person ARG0-of( lend-01 )ARG0-of
lender	company ARG0-of( lend-01 )ARG0-of
liar	person ARG0-of( lie-08 )ARG0-of
lobbyist	person ARG0-of( lobby-01 )ARG0-of
loser	person ARG0-of( lose-03 )ARG0-of
maker	company ARG0-of( make-01 )ARG0-of
maker	person ARG0-of( make-01 )ARG0-of
manager	person ARG0-of( manage-01 )ARG0-of
manufacturer	company ARG0-of( manufacture-01 )ARG0-of
mediator	person ARG0-of( mediate-01 )ARG0-of
merchant	person ARG0-of( merchandise-01 )ARG0-of
migrant	person ARG0-of( migrate-01 )ARG0-of
miner	person ARG0-of( mine-01 )ARG0-of
murderer	person ARG0-of( murder-01 )ARG0-of
negotiator	person ARG0-of( negotiate-01 )ARG0-of
observer	person ARG0-of( observe-01 )ARG0-of
occupant	person ARG0-of( occupy-01 )ARG0-of
offender	person ARG0-of( offend-01 )ARG0-of
operator	person ARG0-of( operate-01 )ARG0-of
opponent	person ARG0-of( oppose-01 )ARG0-of
organiser	person ARG0-of( organize-01 )ARG0-of
